다발지역 에프아이디(FID),다발지역 아이디(ID),시도 구분 아이디(ID),시도명,시구군 구분 아이디(ID),시구군명,읍면동 구분 ID,읍면동명,사고종류,법정동 코드,지점 코드,시도시구군명,지점명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,대상
6397965,2018029,43,충청북도,113,청주흥덕구,320,옥산면,OLDMAN,4311332025,43113002,충청북도 청주시 흥덕구2,충청북도 청주시 흥덕구 옥산면(파리바게뜨 청원옥산점 부근),3,3,0,1,2,0,127.3756014,36.66407175,노약자
6398006,2018029,43,충청북도,113,청주흥덕구,114,복대동,OLDMAN,4311311400,43113001,충청북도 청주시 흥덕구1,충청북도 청주시 흥덕구 복대동(복대사거리 부근),3,3,1,2,0,0,127.439252,36.63278521,노약자
6402879,2018029,43,충청북도,111,청주상당구,111,석교동,OLDMAN,4311111100,43111001,충청북도 청주시 상당구1,충청북도 청주시 상당구 석교동(하나마취통증의학과의원 부근),9,15,1,7,7,0,127.4905013,36.62724136,노약자
6403184,2018029,43,충청북도,111,청주상당구,120,금천동,OLDMAN,4311112000,43111002,충청북도 청주시 상당구2,충청북도 청주시 상당구 금천동(금석교사거리 부근),4,4,0,3,1,0,127.4934894,36.62455312,노약자
6403185,2018029,43,충청북도,111,청주상당구,124,용암동,OLDMAN,4311112400,43111003,충청북도 청주시 상당구3,충청북도 청주시 상당구 용암동(롯데시네마청주용암점 부근),2,2,1,0,1,0,127.504049,36.60615696,노약자
6411290,2018032,43,충청북도,114,청주청원구,102,내덕동,BICYCLE,4311410200,43114001,충청북도 청주시 청원구1,충청북도 청주시 청원구 내덕동(내덕칠거리 부근),4,4,0,1,3,0,127.4883971,36.65722169,기타
6411379,2018032,43,충청북도,113,청주흥덕구,114,복대동,BICYCLE,4311311400,43113001,충청북도 청주시 흥덕구1,충청북도 청주시 흥덕구 복대동(복대사거리 부근),4,4,0,3,1,0,127.4409181,36.6334171,기타
6413454,2018032,43,충청북도,111,청주상당구,106,남문로2가동,BICYCLE,4311110600,43111001,충청북도 청주시 상당구1,충청북도 청주시 상당구 남문로2가동(GS25남문로점 부근),7,7,1,3,3,0,127.4893714,36.63221191,기타
6422420,2018040,43,충청북도,114,청주청원구,103,율량동,VIOLT,4311410300,43114002,충청북도 청주시 청원구2,충청북도 청주시 청원구 율량동(진화하이츠앞 부근),0,9,0,0,9,0,127.4938117,36.66723769,기타
6423384,2018042,43,충청북도,113,청주흥덕구,113,가경동,VIOLT,4311311300,43113004,충청북도 청주시 흥덕구4,충청북도 청주시 흥덕구 가경동(형석1차아파트105동 부근),0,14,0,3,11,0,127.4374217,36.62764572,기타
6423619,2018042,43,충청북도,113,청주흥덕구,113,가경동,VIOLT,4311311300,43113002,충청북도 청주시 흥덕구2,충청북도 청주시 흥덕구 가경동(청주터미널앞사거리 부근),0,10,0,4,5,1,127.43059,36.625271,기타
6423634,2018042,43,충청북도,113,청주흥덕구,114,복대동,VIOLT,4311311400,43113001,충청북도 청주시 흥덕구1,충청북도 청주시 흥덕구 복대동(터미널사거리 부근),0,15,0,2,11,2,127.4285959,36.62892089,기타
6423640,2018042,43,충청북도,114,청주청원구,253,오창읍,VIOLT,4311425333,43114002,충청북도 청주시 청원구2,충청북도 청주시 청원구 오창읍(오창과학산업단지송대리1 부근),0,12,0,4,7,1,127.4447356,36.72281987,기타
6423660,2018042,43,충청북도,113,청주흥덕구,114,복대동,VIOLT,4311311400,43113003,충청북도 청주시 흥덕구3,충청북도 청주시 흥덕구 복대동(산업단지육거리 부근),0,11,0,0,11,0,127.4473715,36.6343667,기타
6424094,2018042,43,충청북도,111,청주상당구,119,영운동,VIOLT,4311111900,43111001,충청북도 청주시 상당구1,충청북도 청주시 상당구 영운동(영운사거리 부근),0,18,0,8,10,0,127.4993235,36.61645641,기타
6424098,2018042,43,충청북도,113,청주흥덕구,119,휴암동,VIOLT,4311311900,43113005,충청북도 청주시 흥덕구5,충청북도 청주시 흥덕구 휴암동(휴암휴게소앞 부근),0,8,0,1,6,1,127.4028158,36.62113839,기타
6424099,2018042,43,충청북도,114,청주청원구,102,내덕동,VIOLT,4311410200,43114001,충청북도 청주시 청원구1,충청북도 청주시 청원구 내덕동(제1순환로교서로 부근),0,14,0,5,9,0,127.4749503,36.65736784,기타
6426869,2018040,43,충청북도,111,청주상당구,101,영동,VIOLT,4311110100,43111001,충청북도 청주시 상당구1,충청북도 청주시 상당구 영동(방아다리길삼충로 부근),0,4,0,2,2,0,127.4859395,36.64497704,기타
6426870,2018040,43,충청북도,111,청주상당구,320,미원면,VIOLT,4311132038,43111002,충청북도 청주시 상당구2,충청북도 청주시 상당구 미원면(운암교동측 인근),0,3,2,0,1,0,127.6839899,36.60954392,기타
6426871,2018040,43,충청북도,114,청주청원구,103,율량동,VIOLT,4311410300,43114001,충청북도 청주시 청원구1,충청북도 청주시 청원구 율량동(현대건설4단지 부근),0,7,0,1,6,0,127.4859599,36.66833309,기타
